Trends file:
Created by:		chris
Created on:\tt09/18/2021T14:31:1631989880Z
Number of trends:	20
Country:		united_states
Zulu,#0,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,
09/21/2021T02:00:1632204006Z,AJ Johnson,Lions,Ariana Grande,Dancing with the Stars,Barcelona,iOS 15 release date,Jeannie Mai,Harvest Moon 2021,Heritage High School,Elizabeth Olsen,Amelia Hamlin,Olivia Jade,Conan O'Brien,Ordinary Joe,Kaley Cuoco,Christina Haack,Halloween Kills,Canada election,August Alsina,FC Barcelona,
09/21/2021T03:00:1632207606Z,AJ Johnson,Packers,iOS 15,Dancing with the Stars,Ariana Grande,Jeannie Mai,Barcelona,Harvest Moon 2021,Heritage High School,Conan O'Brien,Johanna Farber,Canada election,Elizabeth Olsen,Olivia Jade,Amelia Hamlin,August Alsina,Ordinary Joe,Kaley Cuoco,Christina Haack,Halloween Kills,
09/21/2021T04:00:1632211206Z,Packers,AJ Johnson,iOS 15,Ariana Grande,Dancing with the Stars,Jeannie Mai,Barcelona,Heritage High School,Harvest Moon 2021,Canada election,Vanessa Lachey,Conan O'Brien,JoJo Siwa,Olivia Jade,Elizabeth Olsen,Ordinary Joe,BTC,August Alsina,Christina Haack,Kaley Cuoco,
09/21/2021T05:00:1632214806Z,Packers,AJ Johnson,iOS 15,Ariana Grande,Dancing with the Stars,Jeannie Mai,Barcelona,Heritage High School,Harvest Moon 2021,Canada election,Vanessa Lachey,Conan O'Brien,JoJo Siwa,Olivia Jade,Elizabeth Olsen,Ordinary Joe,BTC,August Alsina,Christina Haack,Kaley Cuoco,
09/21/2021T06:00:1632218406Z,Packers,AJ Johnson comedian,Seahawks,Dancing With the Stars,iOS 15,Ariana Grande,Canada election,Jeannie Mai,Barcelona,Harvest Moon 2021,Vanessa Lachey,Heritage High School,Olivia Jade,Amanda Kloots,Conan O'Brien,Amelia Hamlin,NCIS,August Alsina,Elizabeth Olsen,BTC,
09/21/2021T07:00:1632222006Z,AJ Johnson comedian,Seahawks,Dancing with the Stars,iOS 15,Ariana Grande,Canada election,Jeannie Mai,Barcelona,Harvest Moon 2021,Vanessa Lachey,Ordinary Joe,Heritage High School,Olivia Jade,Amelia Hamlin,NCIS,August Alsina,Elizabeth Olsen,BTC,Christina Haack,Cardinals NFL,
09/21/2021T08:00:1632225606Z,AJ Johnson comedian,Seahawks,Dancing With the Stars,iOS 15,Ariana Grande,Canada election,Jeannie Mai,Barcelona,Heritage High School,Harvest Moon 2021,Olivia Jade,Conan O'Brien,Ordinary Joe,Amelia Hamlin,NCIS,Elizabeth Olsen,BTC,NCIS Hawaii,Christina Haack,Kaley Cuoco,
09/21/2021T09:00:1632229206Z,Packers,AJ Johnson comedian,Seahawks,iOS 15,Dancing With the Stars,Ariana Grande,NCIS,Canada election,Jeannie Mai,Barcelona,Harvest Moon 2021,Heritage High School,Olivia Jade,Johanna Farber,Conan O'Brien,Ordinary Joe,Amelia Hamlin,August Alsina,Elizabeth Olsen,BTC,
09/21/2021T10:00:1632232806Z,AJ Johnson comedian,Seahawks,Dancing with the Stars,iOS 15,Ariana Grande,NCIS,Jeannie Mai,Barcelona,Heritage High School,Harvest Moon 2021,Canada election results,Olivia Jade,S&P 500,Johanna Farber,Conan O'Brien,Ordinary Joe,Amelia Hamlin,August Alsina,Elizabeth Olsen,BTC,
09/21/2021T11:00:1632236406Z,AJ Johnson,Seahawks,Dancing With the Stars,Ariana Grande,Canada election,Jeannie Mai,iOS 15 release date,Heritage High School,Harvest Moon 2021,Vanessa Lachey,Barcelona vs Granada,Olivia Jade,S&P 500,Barcelona,Ordinary Joe,August Alsina,Amelia Hamlin,NCIS,Elizabeth Olsen,BTC,
09/21/2021T12:00:1632240006Z,Sarah Dash,A.J. Johnson comedian,Seahawks,Dancing With the Stars,iOS 15,Ariana Grande,Jeannie Mai,Heritage High School,Harvest Moon 2021,Vanessa Lachey,Canada election results,Barcelona vs Granada,Olivia Jade,Barcelona,August Alsina,Ordinary Joe,NCIS,BTC,Christina Haack,Conan O'Brien,
09/21/2021T13:00:1632243606Z,Sarah Dash,DEL RIO, Texas,AJ Johnson comedian,Seahawks,Dancing with the Stars,iOS 15,Ariana Grande,Jeannie Mai,Harvest Moon 2021,Vanessa Lachey,Canada election results,Ordinary Joe,Barcelona vs Granada,Johanna Farber,Olivia Jade,Heritage High School,Barcelona,August Alsina,NCIS,Elizabeth Olsen,
09/23/2021T17:01:1632430919Z,Linda Evangelista,Diablo 2 Resurrected,Gersson Rosas,Moneybagg Yo,Melvin Van Peebles,Chicago Fire,Survivor' Season 41,Halloween,Metz vs PSG,Steam,Masked Singer,Tory Lanez,Chelsea,Fall,George Segal,Thanos,Dogs,Autumn,Nintendo Direct,Real Madrid vs Mallorca,
09/23/2021T18:00:1632434406Z,Linda Evangelista,Diablo 2: Resurrected,Gersson Rosas,Moneybagg Yo,Chicago Fire,Melvin Van Peebles,Survivor Season 41,Halloween,Metz vs PSG,Masked Singer,Steam,Tory Lanez,Chelsea,Fall,George Segal,Thanos,Dogs,Nintendo Direct,Autumn,The Wonder Years,
09/23/2021T19:00:1632438006Z,Linda Evangelista,Diablo 2: Resurrected,Gersson Rosas,Moneybagg Yo,Melvin Van Peebles,Chicago Fire,Survivor Season 41,Halloween,Masked Singer,Tory Lanez,Chelsea,Fall,Metz vs PSG,George Segal,Nintendo Direct,Thanos,Dogs,Autumn,Real Madrid vs Mallorca,The Wonder Years,
09/23/2021T20:00:1632441607Z,Linda Evangelista,Diablo 2: Resurrected,Gersson Rosas,Moneybagg Yo,Melvin Van Peebles,Chicago Fire,Survivor Season 41,Halloween,Masked Singer,Tory Lanez,Chelsea,Nintendo Direct,Fall,Metz vs PSG,George Segal,Thanos,Dogs,Autumn,Real Madrid vs Mallorca,The Wonder Years,
09/23/2021T21:00:1632445237Z,Linda Evangelista,Diablo 2: Resurrected,Gersson Rosas,Moneybagg Yo,Moderna booster shot,Melvin Van Peebles,Chicago Fire,Survivor Season 41,Halloween,Masked Singer,Tory Lanez,Chelsea,Nintendo Direct,Fall,Metz vs PSG,George Segal,Thanos,Dogs,Autumn,Real Madrid vs Mallorca,
09/23/2021T22:00:1632448807Z,Linda Evangelista,Diablo 2: Resurrected,Collierville tn,Davis Mills,Gersson Rosas,Moneybagg Yo,Moderna booster shot,Haitian migrants,Melvin Van Peebles,Survivor Season 41,Halloween,Chicago Fire,Masked Singer,Metz vs PSG,Nintendo Direct,Tory Lanez,Chelsea,Fall,George Segal,Thanos,
09/23/2021T23:00:1632452408Z,Linda Evangelista,Carolina Panthers,Diablo 2: Resurrected,Barcelona,Collierville tn,Chelsea,Gersson Rosas,Fire,Moderna booster shot,Haitian Migrants,Melvin Van Peebles,Chicago Fire,Survivor Season 41,Halloween,Masked Singer,Nintendo Direct,Metz vs PSG,Tory Lanez,Fall,George Segal,
